name,email,degreeProgram,isTA?,isGrader?,isSG?,positionString,preferences,antipref,indifferent
116,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 315, 445, 121, 206, 314, 111, 483, 222, 181, 221, 411, 110, 315, 121, 111, 181, 314, 206, 411, 445, 483, 222, 221",,"100, 200, 300, 400"
117,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 411, 441, 470, 310, 420, 110, 111, 121, 181, 206, 222, 313, 314, 410, 431, 463",462,"100, 200, 300, 400"
118,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 121, 181, 221, 206, 314",,"100, 200, 300, 400"
119,email,degree,0,1,1,Senior Grader;Grader,"431, 411, 310, 412, 420","410, 441","100, 200, 300, 400"
120,email,degree,1,0,0,Teaching Assistant,312,,"100, 200, 300, 400"
121,email,degree,1,0,0,Teaching Assistant,483,,"100, 200, 300, 400"
122,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"606, 629, 465, 221, 489, 438, 436, 411, 431, 315, 314, 313, 310, 222, 206, 181, 121, 111, 110",,"100, 200, 300, 400"
123,email,degree,1,1,1,Teaching Assistant;Senior Grader,"633, 625, 636, 660, 629, 606, 652, 655, 670, 420, 470, 436, 445, 431, 451, 438, 441, 483, 310, 315, 314, 312, 313",,"100, 200, 300, 400"
124,email,degree,1,0,0,Teaching Assistant,"483, 312, 313, 221, 121",,"100, 200, 300, 400"
125,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 221, 100, 200, 300",,"100, 200, 300, 400"
126,email,degree,0,1,0,Grader,"221, 411, 629",,"100, 200, 300, 400"
127,email,degree,1,0,0,Teaching Assistant,"312, 313",,"100, 200, 300, 400"
128,email,degree,1,0,0,Teaching Assistant,"110, 121, 206",,"100, 200, 300, 400"
129,email,degree,1,0,0,Teaching Assistant,"110, 111, 121, 181, 206, 221, 222, 310, 420, 431","313, 315, 350, 410, 411","100, 200, 300, 400"
130,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"411, 314, 221, 436, 431, 451, 470, 110, 315, 111, 121, 181, 206",,"100, 200, 300, 400"
131,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"222, 470, 420, 110, 111, 221, 121","310, 312, 313","100, 200, 300, 400"
